category,model,round_date,actual,forecast
Category A,naive,2025-09-15,119003.0,107889
Category A,naive,2025-10-01,128105.0,119003
Category A,naive,2025-10-15,122000.0,128105
Category A,naive,2025-11-01,110002.0,122000
Category A,naive,2025-11-15,109000.0,110002
Category A,naive,2025-12-01,105413.0,109000
Category A,naive,2025-12-15,109501.0,105413
Category A,naive,2026-01-01,102009.0,109501
Category A,naive,2026-01-15,109501.0,102009
Category A,naive,2026-02-01,106320.0,109501
Category A,naive,2026-02-15,106501.0,106320
Category A,naive,2026-03-01,108220.0,106501
Category A,naive,2026-03-15,111890.0,108220
Category A,naive,2026-04-01,118000.0,111890
Category A,naive,2026-04-15,123010.0,118000
Category A,naive,2026-05-01,124790.0,123010
Category A,naive,2026-05-15,124229.0,124790
Category A,naive,2026-06-01,126009.0,124229
Category A,naive,2026-06-15,123847.0,126009
Category A,naive,2026-07-01,129000.0,123847
Category A,naive,2026-07-15,126000.0,129000
Category A,naive,2026-08-01,123890.0,126000
Category A,naive,2026-08-15,128501.0,123890
Category A,naive,2026-09-01,133009.0,128501
Category A,arima,2025-09-15,119003.0,107623
Category A,arima,2025-10-01,128105.0,118289
Category A,arima,2025-10-15,122000.0,127159
Category A,arima,2025-11-01,110002.0,122212
Category A,arima,2025-11-15,109000.0,110761
Category A,arima,2025-12-01,105413.0,108506
Category A,arima,2025-12-15,109501.0,105180
Category A,arima,2026-01-01,102009.0,109965
Category A,arima,2026-01-15,109501.0,101642
Category A,arima,2026-02-01,106320.0,109234
Category A,arima,2026-02-15,106501.0,106507
Category A,arima,2026-03-01,108220.0,106643
Category A,arima,2026-03-15,111890.0,107932
Category A,arima,2026-04-01,118000.0,111626
Category A,arima,2026-04-15,123010.0,117464
Category A,arima,2026-05-01,124790.0,122325
Category A,arima,2026-05-15,124229.0,124457
Category A,arima,2026-06-01,126009.0,123967
Category A,arima,2026-06-15,123847.0,125364
Category A,arima,2026-07-01,129000.0,123576
Category A,arima,2026-07-15,126000.0,128648
Category A,arima,2026-08-01,123890.0,125473
Category A,arima,2026-08-15,128501.0,123983
Category A,arima,2026-09-01,133009.0,127999
Category A,arima+quota,2025-09-15,119003.0,107406
Category A,arima+quota,2025-10-01,128105.0,118030
Category A,arima+quota,2025-10-15,122000.0,126617
Category A,arima+quota,2025-11-01,110002.0,120857
Category A,arima+quota,2025-11-15,109000.0,109714
Category A,arima+quota,2025-12-01,105413.0,108839
Category A,arima+quota,2025-12-15,109501.0,105124
Category A,arima+quota,2026-01-01,102009.0,109806
Category A,arima+quota,2026-01-15,109501.0,101717
Category A,arima+quota,2026-02-01,106320.0,109263
Category A,arima+quota,2026-02-15,106501.0,106228
Category A,arima+quota,2026-03-01,108220.0,106658
Category A,arima+quota,2026-03-15,111890.0,107780
Category A,arima+quota,2026-04-01,118000.0,111372
Category A,arima+quota,2026-04-15,123010.0,117412
Category A,arima+quota,2026-05-01,124790.0,121941
Category A,arima+quota,2026-05-15,124229.0,124397
Category A,arima+quota,2026-06-01,126009.0,123788
Category A,arima+quota,2026-06-15,123847.0,125176
Category A,arima+quota,2026-07-01,129000.0,123409
Category A,arima+quota,2026-07-15,126000.0,128450
Category A,arima+quota,2026-08-01,123890.0,125420
Category A,arima+quota,2026-08-15,128501.0,124067
Category A,arima+quota,2026-09-01,133009.0,128212
Category A,log+drift,2025-09-15,119003.0,108086
Category A,log+drift,2025-10-01,128105.0,117774
Category A,log+drift,2025-10-15,122000.0,126116
Category A,log+drift,2025-11-01,110002.0,121794
Category A,log+drift,2025-11-15,109000.0,110724
Category A,log+drift,2025-12-01,105413.0,109470
Category A,log+drift,2025-12-15,109501.0,107367
Category A,log+drift,2026-01-01,102009.0,110900
Category A,log+drift,2026-01-15,109501.0,103660
Category A,log+drift,2026-02-01,106320.0,108904
Category A,log+drift,2026-02-15,106501.0,107665
Category A,log+drift,2026-03-01,108220.0,108083
Category A,log+drift,2026-03-15,111890.0,108204
Category A,log+drift,2026-04-01,118000.0,111384
Category A,log+drift,2026-04-15,123010.0,118170
Category A,log+drift,2026-05-01,124790.0,122959
Category A,log+drift,2026-05-15,124229.0,123705
Category A,log+drift,2026-06-01,126009.0,123334
Category A,log+drift,2026-06-15,123847.0,126078
Category A,log+drift,2026-07-01,129000.0,124929
Category A,log+drift,2026-07-15,126000.0,128025
Category A,log+drift,2026-08-01,123890.0,126101
Category A,log+drift,2026-08-15,128501.0,125007
Category A,log+drift,2026-09-01,133009.0,128632
Category A,log+drift+quota,2025-09-15,119003.0,103359
Category A,log+drift+quota,2025-10-01,128105.0,113749
Category A,log+drift+quota,2025-10-15,122000.0,127290
Category A,log+drift+quota,2025-11-01,110002.0,120723
Category A,log+drift+quota,2025-11-15,109000.0,110732
Category A,log+drift+quota,2025-12-01,105413.0,109521
Category A,log+drift+quota,2025-12-15,109501.0,106256
Category A,log+drift+quota,2026-01-01,102009.0,110405
Category A,log+drift+quota,2026-01-15,109501.0,105845
Category A,log+drift+quota,2026-02-01,106320.0,116658
Category A,log+drift+quota,2026-02-15,106501.0,100833
Category A,log+drift+quota,2026-03-01,108220.0,107215
Category A,log+drift+quota,2026-03-15,111890.0,113617
Category A,log+drift+quota,2026-04-01,118000.0,110792
Category A,log+drift+quota,2026-04-15,123010.0,111120
Category A,log+drift+quota,2026-05-01,124790.0,117698
Category A,log+drift+quota,2026-05-15,124229.0,125551
Category A,log+drift+quota,2026-06-01,126009.0,123502
Category A,log+drift+quota,2026-06-15,123847.0,125532
Category A,log+drift+quota,2026-07-01,129000.0,122695
Category A,log+drift+quota,2026-07-15,126000.0,129380
Category A,log+drift+quota,2026-08-01,123890.0,124315
